rank,year,category,keywordTags,title,authors,venue,citationCount,importanceScore,keyIdea,strengths,limitations,url,doi,sourceId
11,1900,General Brain-AI Structure Reviews and Methods,,Untersuchungen über die menschliche Neuroglia,J. Aguerre,Unknown venue,7,37.43,"Positions Untersuchungen über die menschliche Neuroglia within Cellular, Molecular, and Synaptic Neuroscience.",high citation signal (7),"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",https://doi.org/10.1007/BF02976648,10.1007/BF02976648,0e693fbc1c4655551fec319b3ced2a4140003f4a
12,1900,General Brain-AI Structure Reviews and Methods,brain-structure,A new brain microtome,H. Goddard,Unknown venue,5,44.45,Positions A new brain microtome within General Brain Science and Reviews.,high citation signal (5); open-access PDF metadata; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1002/CNE.910100205,10.1002/CNE.910100205,e73bb973be3bdefb890aedb939eeefec710e396f
13,1900,General Brain-AI Structure Reviews and Methods,brain-structure,A brief summary of the researches of theodore kaes on the medullation of the intra-cortical fibers of man at different ages,H. Thompson,Unknown venue,5,37.45,Positions A brief summary of the researches of theodore kaes on the medullation of the intra-cortical fibers of man at different ages within General Brain Science and Reviews.,high citation signal (5); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1002/cne.910100306,10.1002/cne.910100306,a72683e06c61756a69d13f8ad728a95dc09765ab
14,1900,General Brain-AI Structure Reviews and Methods,,THE CEREBROSPINAL FLUID. ITS SPONTANEOUS ESCAPE FROM THE NOSE. WITH OBSERVATIONS ON ITS POSITION AND FUNCTION IN THE HUMAN SUBJECT,S. Thomson,Unknown venue,5,34.25,Positions THE CEREBROSPINAL FLUID. ITS SPONTANEOUS ESCAPE FROM THE NOSE. WITH OBSERVATIONS ON ITS POSITION AND FUNCTION IN THE HUMAN SUBJECT within General Brain Science and Reviews.,high citation signal (5),"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",https://doi.org/10.1097/00005053-190002000-00016,10.1097/00005053-190002000-00016,4debe31673a1ce861faa810174aa96b84b685da4
15,1900,General Brain-AI Structure Reviews and Methods,brain-structure,140 Ueber das Gewicht des schwersten bis jetzt beschriebenen Gehirns (The Weight of the Heaviest Brain Yet Described),Bonar,Unknown venue,4,41.17,Positions 140 Ueber das Gewicht des schwersten bis jetzt beschriebenen Gehirns (The Weight of the Heaviest Brain Yet Described) within General Brain Science and Reviews.,high citation signal (4); open-access PDF metadata; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1097/00005053-190012000-00006,10.1097/00005053-190012000-00006,64a4090e4da9052628ee1679ba38b638b027e297
16,1900,General Brain-AI Structure Reviews and Methods,brain-structure,"ROYAL HOSPITAL, HASLAR.: A CASE OF CEREBRAL HÆMORRHAGE PRESENTING SEVERAL UNUSUAL FEATURES ; NECROPSY",G. Irvine,Unknown venue,4,34.17,"Positions ROYAL HOSPITAL, HASLAR.: A CASE OF CEREBRAL HÆMORRHAGE PRESENTING SEVERAL UNUSUAL FEATURES ; NECROPSY within General Brain Science and Reviews.",high citation signal (4); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1016/S0140-6736(01)86036-0,10.1016/S0140-6736(01)86036-0,9b2412d51eea90b25087ffead64b0b196473d510
17,1900,General Brain-AI Structure Reviews and Methods,,INTERNAL HYDROCEPHALUS FOLLOWING CEREBROSPINAL MENINGITIS,E. Joslin,Unknown venue,4,30.97,Positions INTERNAL HYDROCEPHALUS FOLLOWING CEREBROSPINAL MENINGITIS within General Brain Science and Reviews.,high citation signal (4),"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",https://doi.org/10.1097/00000441-190010000-00007,10.1097/00000441-190010000-00007,60f44703de2b3b8af262a8d6721ac35c650e83a4
18,1900,"Connectomics, Graph Models, and Brain Networks",brain-structure;connectome,Preliminary List of the Mammals of New York,Unknown authors,American Naturalist,4,36.37,Reissner's Fibre. This fibre has been found by Sargent 1 to extend from the posterior end of the spinal cord anteriorly through the central canal and the ventricles of the brain to the anterior end of the optic lobes.,high citation signal (4); open-access PDF metadata; brain-structure signal,"Graph results can depend strongly on parcellation, thresholding, acquisition, and preprocessing choices.; Correlation networks are often interpreted more causally than the evidence supports.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1086/277625,10.1086/277625,8a588845da4a7938c9795378e21c76dd56c1e4b5
19,1900,General Brain-AI Structure Reviews and Methods,,Beiträge zur Markscheidenentwicklung im Gehirn und in der Medulla oblongata des Menschen.,O. Hösel,Unknown venue,3,26.95,Positions Beiträge zur Markscheidenentwicklung im Gehirn und in der Medulla oblongata des Menschen. within General Brain Science and Reviews.,high citation signal (3),"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",https://doi.org/10.1159/000228610,10.1159/000228610,21ac771a2e6f56fd4fbf058cadcfef420ac85f6a
20,1900,Clinical NeuroAI and Brain Disorders,brain-structure;clinical-neuroai,Jacksonian Epilepsy Due to Cerebral Abscess Following upon Typhoid Fever,A. Brown,Edinburgh medical journal,3,29.35,Positions Jacksonian Epilepsy Due to Cerebral Abscess Following upon Typhoid Fever within Clinical Neurology and Neurodegeneration.,high citation signal (3); brain-structure signal,"Clinical cohorts vary by disease stage, comorbidity, treatment history, and follow-up.; Models can learn site or demographic artifacts instead of disease mechanisms.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://www.semanticscholar.org/paper/598e1ea805bb7905761a0ce96d78b32c06a3002c,,598e1ea805bb7905761a0ce96d78b32c06a3002c
21,1900,Clinical NeuroAI and Brain Disorders,brain-structure;clinical-neuroai,THYROID EXTRACT IN JUVENILE OBESITY: A CLINICAL NOTE.,I. Love,Unknown venue,3,32.35,"Animal therapy is at this time an alluring subject, being unquestionably all in all the most revolutionary made in years toward the physiologic cure of disease.",high citation signal (3); open-access PDF metadata; brain-structure signal,"Clinical cohorts vary by disease stage, comorbidity, treatment history, and follow-up.; Models can learn site or demographic artifacts instead of disease mechanisms.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1001/JAMA.1900.24610160017001E,10.1001/JAMA.1900.24610160017001E,4f1b59d2dc20f0b52760d8a63789e358c205634c
22,1900,Clinical NeuroAI and Brain Disorders,brain-structure,A CASE OF TUMOR AT THE BASE OF THE BRAIN IN THE PONTINE REGION,J. Lloyd,Unknown venue,2,31.98,Positions A CASE OF TUMOR AT THE BASE OF THE BRAIN IN THE PONTINE REGION within General Brain Science and Reviews.,high citation signal (2); open-access PDF metadata; brain-structure signal,"Clinical cohorts vary by disease stage, comorbidity, treatment history, and follow-up.; Models can learn site or demographic artifacts instead of disease mechanisms.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1097/00005053-190002000-00006,10.1097/00005053-190002000-00006,40a3df385ac8788396faf5ce4b1be150f86efde1
23,1900,General Brain-AI Structure Reviews and Methods,brain-structure,"Brain Weight and the Peripheral Nerve-fibres v. Bodily Size [Das Hirngewicht und die Zahl der peripherischen Nervenfasern in ihrer Beziehung zur Körpergrösse]. (Biol. Cbl., No. 13, 1899, reported in Zeit. für Psych., B. xx, H. 5.) Brandt",W. W. Ireland,Unknown venue,2,28.98,"Positions Brain Weight and the Peripheral Nerve-fibres v. Bodily Size [Das Hirngewicht und die Zahl der peripherischen Nervenfasern in ihrer Beziehung zur Körpergrösse]. (Biol. Cbl., No. 13, 1899, reported in Zeit. für Psych., B. xx, H. 5.) Brandt within General Brain Science and Reviews.",high citation signal (2); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1192/BJP.46.193.349,10.1192/BJP.46.193.349,6b79159ddd57c8a157f072617ed75d6e42b0e8f9
24,1900,"Connectomics, Graph Models, and Brain Networks",brain-structure;connectome,"RADIOGRAPHIC RESEARCHES ON THE TOPOGRAPHICAL RELATIONS OF THE BRAIN, THE FRONTAL AND MAXILLARY SINUSES, AND THE VENOUS SINUSES OF THE DURA MATER TO THE WALLS OF THE SKULL.","P. Régnier, J. Glover",Unknown venue,2,33.18,"Positions RADIOGRAPHIC RESEARCHES ON THE TOPOGRAPHICAL RELATIONS OF THE BRAIN, THE FRONTAL AND MAXILLARY SINUSES, AND THE VENOUS SINUSES OF THE DURA MATER TO THE WALLS OF THE SKULL. within General Brain Science and Reviews.",high citation signal (2); open-access PDF metadata; brain-structure signal,"Graph results can depend strongly on parcellation, thresholding, acquisition, and preprocessing choices.; Correlation networks are often interpreted more causally than the evidence supports.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1016/S0140-6736(01)96781-9,10.1016/S0140-6736(01)96781-9,a5f40d89484d5ddebe3858951506728eb41281b3
25,1900,General Brain-AI Structure Reviews and Methods,brain-structure,141 Ueber die Selbstwahrnehmung der Herder-Krankungen des Gehirns Durch den Kranken bei Rindenblindheit und Rindentaubheit (Cortical Blindness and Deafness as Observed and Regarded by the Afflicted Themselves),Jelliffe,Unknown venue,2,24.98,Positions 141 Ueber die Selbstwahrnehmung der Herder-Krankungen des Gehirns Durch den Kranken bei Rindenblindheit und Rindentaubheit (Cortical Blindness and Deafness as Observed and Regarded by the Afflicted Themselves) within General Brain Science and Reviews.,high citation signal (2); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1097/00005053-190012000-00009,10.1097/00005053-190012000-00009,f9397d7dcd2acc4eceb77987bd2d6830e1597790
26,1900,"Electrophysiology, Neural Signals, and AI Decoding",neural-signals,Cases of Acromegaly and Infantile Myxœdema Occurring Respectively in Father and Daughter *,"F. M. Pope, A. Clarke",British medical journal,2,27.98,"Positions Cases of Acromegaly and Infantile Myxœdema Occurring Respectively in Father and Daughter * within EEG, MEG, and Electrophysiology.",high citation signal (2); open-access PDF metadata,"Signal artifacts, montage choices, source localization, and session drift can dominate apparent model performance.; Temporal precision does not automatically imply anatomical specificity.; Signal drift, artifacts, and session effects can limit real-world decoding reliability.",https://doi.org/10.1136/bmj.2.2083.1563,10.1136/bmj.2.2083.1563,db74a7d94a899d122da214a64171173e77227cc0
27,1900,General Brain-AI Structure Reviews and Methods,brain-structure,"The Function of the Cerebellum [Zur Lehre von den Functionen des Kleinhirns]. (Jahrb. f. Psychiat. u. Neurol., B. i, H. 2, 1899.) Pineles, F.",W. W. Ireland,Unknown venue,2,24.98,"Positions The Function of the Cerebellum [Zur Lehre von den Functionen des Kleinhirns]. (Jahrb. f. Psychiat. u. Neurol., B. i, H. 2, 1899.) Pineles, F. within General Brain Science and Reviews.",high citation signal (2); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1192/BJP.46.194.564,10.1192/BJP.46.194.564,c99180345ea13a8ab5cc25fba2e12e9ad9069087
28,1900,General Brain-AI Structure Reviews and Methods,brain-structure,NEW SOURCES OF DANGER IN THE USE OF OPIUM.,T. D. Crothers,Unknown venue,2,25.98,"In a paper read last year at Columbus, on the use of opium in infancy and the effects in adult life, some serious injuries following its use were pointed out.",high citation signal (2); open-access PDF metadata; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1001/JAMA.1900.24620320008002A,10.1001/JAMA.1900.24620320008002A,319c6bf8a8348dbcfbe96de475340d9c5d4d9021
29,1900,General Brain-AI Structure Reviews and Methods,,Eine neue Färbung der Neuroglia,Dr. K. Yamagiwa,Archiv für Pathologische Anatomie und Physiologie und für Klinische Medicin,2,19.78,"Positions Eine neue Färbung der Neuroglia within Cellular, Molecular, and Synaptic Neuroscience.",high citation signal (2),"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",https://doi.org/10.1007/BF01942451,10.1007/BF01942451,ceb7f53a231da707540c3b6ff50146819549e247
30,1900,Structural Neuroimaging and AI,brain-structure;machine-learning,A STUDY OF THE NEUROFIBRILS IS THE GANGLION CELLS OF THE CEREBRAL CORTEX,S. Paton,Journal of Experimental Medicine,1,53.88,"As has often been pointed out, the use of the terms chromatic and achromatic to distinguish certain characteristics ef the ganglion cell is misleading.",high citation signal (1); open-access PDF metadata; explicit AI/modeling signal; brain-structure signal,"Scanner, site, protocol, and preprocessing differences can be learned as shortcuts by AI models.; High predictive accuracy does not guarantee anatomical validity or causal interpretation.; Model performance should be checked for leakage, confounding, calibration, and external validity.",https://doi.org/10.1084/jem.5.1.21,10.1084/jem.5.1.21,dade66a1f5aff88b5ef02ac147d53dee0627ab45
31,1900,"Electrophysiology, Neural Signals, and AI Decoding",brain-structure,Revised Interpretation of the Central Fissures of the Educated Suicides Brain Exhibited to the Association in 1894,B. G. Wilder,Unknown venue,1,25.68,"Positions Revised Interpretation of the Central Fissures of the Educated Suicides Brain Exhibited to the Association in 1894 within EEG, MEG, and Electrophysiology.",high citation signal (1); brain-structure signal,"Signal artifacts, montage choices, source localization, and session drift can dominate apparent model performance.; Temporal precision does not automatically imply anatomical specificity.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1097/00005053-190010000-00005,10.1097/00005053-190010000-00005,3dea2da09b1786a3a57d6f69d6cc45c650a395a2
32,1900,General Brain-AI Structure Reviews and Methods,brain-structure,"A Case of Diffuse Sarcoma of the Whole of the Pia Mater of the Brain and Cord [Ein Fall von diffuser Sarkomatose der gesamten Pia Mater des Gehirns und Rükenmarks]. (Monats. f. Psych. u. Neur., Nov., 1899.) Schroder",W. Penfold,Unknown venue,1,21.68,"Positions A Case of Diffuse Sarcoma of the Whole of the Pia Mater of the Brain and Cord [Ein Fall von diffuser Sarkomatose der gesamten Pia Mater des Gehirns und Rükenmarks]. (Monats. f. Psych. u. Neur., Nov., 1899.) Schroder within General Brain Science and Reviews.",high citation signal (1); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1192/BJP.46.193.351-A,10.1192/BJP.46.193.351-A,e868ca3da827f56c0f99ff15bb14653b1c16c1f9
33,1900,General Brain-AI Structure Reviews and Methods,brain-structure,"A CASE OF GENERAL GASEOUS EMPHYSEMA WITH GAS CYSTS IN THE BRAIN FORMED AFTER DEATH AND DUE TO BACILLUS MUCOSUS CAPSULATUS, WITH A CONSIDERATION OF THE GAS-PRODUCING PROPERTIES OF CERTAIN MEMBERS OF THIS GROUP IN THE CADAVERS OF ANIMALS",W. T. Howard,Journal of Experimental Medicine,1,24.68,"In the case reported in this article there was septicæmia with special localization of the microorganisms in the brain, with gas cysts of the brain and general gaseous emphysema due to Bacillus mucosus capsulatus (aërogenes group).",high citation signal (1); open-access PDF metadata; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1084/jem.5.2.139,10.1084/jem.5.2.139,05fce1212e8307e78b387b5b464bcfec0a55a50a
34,1900,General Brain-AI Structure Reviews and Methods,brain-structure,"On Loss of the Knee-jerks in Gross Lesions of the Præfrontal Region of the Brain. (Glas. Med. Journ., Nov., 1899.) Williamson, R. T.",W. J. Penfold,Unknown venue,1,21.68,"Positions On Loss of the Knee-jerks in Gross Lesions of the Præfrontal Region of the Brain. (Glas. Med. Journ., Nov., 1899.) Williamson, R. T. within General Brain Science and Reviews.",high citation signal (1); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1192/BJP.46.194.581-B,10.1192/BJP.46.194.581-B,fc3eac0c5407c41c1faf75bd1df4c262688e753f
35,1900,General Brain-AI Structure Reviews and Methods,brain-structure,"The Brain of Hermann von Helmholtz [Ueber das Gehirn von Helmholtz]. (Ophth. Klin., Stuttg., 1899, iii, 43-45. Zeits. f. Psych., 1899.) Hansemann",W. W. Ireland,Unknown venue,1,21.68,"Positions The Brain of Hermann von Helmholtz [Ueber das Gehirn von Helmholtz]. (Ophth. Klin., Stuttg., 1899, iii, 43-45. Zeits. f. Psych., 1899.) Hansemann within General Brain Science and Reviews.",high citation signal (1); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1192/BJP.46.194.559,10.1192/BJP.46.194.559,2cdf4cea83fc54b3d9561047fcf5ad577bf3615d
36,1900,General Brain-AI Structure Reviews and Methods,brain-structure,A Case of Malignant Malarial Fever with Cerebral Symptoms Terminating Fatally in England,D. C. Rees,British medical journal,1,20.68,Positions A Case of Malignant Malarial Fever with Cerebral Symptoms Terminating Fatally in England within General Brain Science and Reviews.,high citation signal (1); open-access PDF metadata; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1136/BMJ.1.2041.308,10.1136/BMJ.1.2041.308,5ded902c58b183022d725ed7444a6b931d296d0b
37,1900,General Brain-AI Structure Reviews and Methods,,"Beitrag zur vergleichenden Anatomie der Medulla oblongata der Wirbeltiere, speciell mit Rücksicht auf die Medulla oblongata der Pinnipedier.",J. Dräseke,Unknown venue,1,14.48,"Positions Beitrag zur vergleichenden Anatomie der Medulla oblongata der Wirbeltiere, speciell mit Rücksicht auf die Medulla oblongata der Pinnipedier. within General Brain Science and Reviews.",high citation signal (1),"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",https://doi.org/10.1159/000223396,10.1159/000223396,f5856dcdf771c01461a1f898582b1c799f8f72d2
38,1900,"Cellular, Synaptic, and Neuromorphic Foundations",,"ON THE CAUSATION OF NERVOUS SYMPTOMS IN TYPHOID FEVER,: WITH AN EXPERIMENTAL STUDY OF THE ACTION OF TYPHOID TOXINS ON THE GANGLION CELLS OF THE CENTRAL NERVOUS SYSTEM","A. Foulerton, H. Thomson",Unknown venue,1,14.48,"Positions ON THE CAUSATION OF NERVOUS SYMPTOMS IN TYPHOID FEVER,: WITH AN EXPERIMENTAL STUDY OF THE ACTION OF TYPHOID TOXINS ON THE GANGLION CELLS OF THE CENTRAL NERVOUS SYSTEM within General Brain Science and Reviews.",high citation signal (1),Cellular mechanisms rarely scale directly into whole-brain behavior or modern AI architectures.; Animal and ex vivo findings require careful translation to human cognition and deployed systems.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.,https://doi.org/10.1016/S0140-6736(01)96643-7,10.1016/S0140-6736(01)96643-7,52b2c7125d287e9d0d0b6d4e82c786c7d0c3a264
39,1900,"Cellular, Synaptic, and Neuromorphic Foundations",,The action of ether and chloroform on the neurons of rabbits and dogs,H. Wright,Journal of Physiology,1,17.48,"Positions The action of ether and chloroform on the neurons of rabbits and dogs within Cellular, Molecular, and Synaptic Neuroscience.",high citation signal (1); open-access PDF metadata,Cellular mechanisms rarely scale directly into whole-brain behavior or modern AI architectures.; Animal and ex vivo findings require careful translation to human cognition and deployed systems.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.,https://doi.org/10.1113/jphysiol.1900.sp000819,10.1113/jphysiol.1900.sp000819,f30342cfa0087b38519cb48e7e85fd738c88c356
